seed,completed_count,failed_count,beats_raw_count,non_beating_count,median_raw_gps_rmse_xy_m,mean_raw_gps_rmse_xy_m,median_eskf_rmse_xy_m,mean_eskf_rmse_xy_m
67,876,0,876,0,2.87548,2.8793446232876714,0.7070685000000001,0.7415934942922374
68,876,0,876,0,2.7718,2.7677845547945203,0.7822745,0.7970781369863014
69,876,0,876,0,2.74961,2.747183219178082,0.805644,0.825313843607306
70,876,0,876,0,2.84988,2.8583803424657535,0.7422075,0.7668899566210046
71,876,0,876,0,2.87389,2.8708147602739724,0.891833,0.9268438881278539
72,876,0,876,0,2.615005,2.615027020547945,0.684723,0.7198199737442922
73,876,0,876,0,2.82406,2.8175625570776255,0.772818,0.8091206826484019
74,876,0,876,0,2.55858,2.5751006392694062,0.7172244999999999,0.7501172111872146
75,876,0,875,1,2.67485,2.652158207762557,0.9856320000000001,1.0175712294520547
76,876,0,876,0,2.86109,2.834265627853881,0.9238504999999999,0.9306905867579909
77,876,0,876,0,2.94559,2.9423450342465753,0.71677,0.7398967191780822
78,876,0,876,0,2.962835,2.96192602739726,0.7707569999999999,0.808310506849315
79,876,0,876,0,3.00046,2.998757831050228,0.560191,0.6022681792237443
80,876,0,876,0,2.62221,2.6253286301369863,0.8190090000000001,0.8445402557077626
81,876,0,876,0,2.85383,2.8681508561643834,0.865829,0.9173576575342466
82,876,0,876,0,2.76085,2.7501782191780824,0.91903,0.9331861278538813
83,876,0,876,0,2.882,2.8863274543378994,0.8350765,0.8389538904109589
84,876,0,876,0,2.803045,2.8050557191780823,0.7637225,0.7850482979452055
85,876,0,876,0,2.75426,2.758868093607306,0.652992,0.6650889908675799
86,876,0,876,0,2.69824,2.7032540525114155,0.593623,0.6227751484018265
87,876,0,876,0,2.86721,2.871621038812785,0.755924,0.7763387260273973
88,876,0,876,0,2.8053749999999997,2.7989656735159816,0.8365975000000001,0.8569751826484018
89,876,0,876,0,2.71023,2.7290224885844747,0.6575249999999999,0.7073936678082192
90,876,0,876,0,2.76839,2.7846996917808218,0.8213505,0.8440020627853881
91,876,0,876,0,2.96801,2.9847562328767125,0.9266449999999999,0.9560419874429223
92,876,0,876,0,2.74444,2.750694121004566,0.735956,0.7702141769406393
93,876,0,876,0,2.76694,2.782093196347032,0.9509665,0.96530474543379
94,876,0,876,0,2.66218,2.662446700913242,0.8740829999999999,0.8856942579908675
95,876,0,876,0,2.8693,2.8696908219178083,0.8588815,0.8823795605022831
96,876,0,876,0,2.86156,2.833990216894977,0.8967775,0.9081689303652968
97,876,0,876,0,2.87033,2.851650285388128,1.10368,1.0923737728310503
98,876,0,876,0,2.766215,2.788422511415525,0.709025,0.7398456095890411
99,876,0,876,0,2.6599,2.670228378995434,0.8754394999999999,0.9010566255707763
100,876,0,876,0,2.84012,2.8394962557077625,0.814476,0.8407315947488585
